DTL_ADRES,XCORD,LO,CHCK_MATTER_WKEND_HDAY_OPN_AT,WKEND_HDAY_OPER_BEGIN_TIME,MODF_TIME,ARCD,WKDAY_OPER_BEGIN_TIME,YEAR,USE_PSBL_NMPR,CHCK_MATTER_NIGHT_OPN_AT,RSTR_NM,WKEND_HDAY_OPER_END_TIME,CHCK_MATTER_STAYNG_PSBL_AT,MNGDPT_CD,COLR_HOLD_ARCNDTN,OPER_END_DE,RN_DTL_ADRES,OPER_BEGIN_DE,FCLTY_OPRN_AT,INPT_TIME,DTL_POSITION,WKDAY_OPER_END_TIME,FCLTY_SCLAS,COLR_HOLD_ELEFN,AR,YCORD,USE_AT,LA,RSTR_FCLTY_NO,RM,FCLTY_TY
"416-2",,126.7607769,"N",,"2025-05-07 19:47:50.000","4119267000","0900","2025",10,"N","상동행정복지센터민원실",,"N","3860750",3,"20240930","경기도 부천시 원미구 석천로 83 (상동)","20240805","Y","2024-08-08 10:34:35.000",,"1800","001",0,24,,"Y",37.4949414,4119201145,,"001"
"941-1",,126.7339495,"N",,"2025-04-29 15:48:20.000","4148056000","0900","2025",9,"N","파주중앙새마을금고산내지점",,"N","4060513",2,"20240930","경기도 파주시 교하로 87 (목동동)","20240501","Y","2024-08-23 15:01:08.000",,"1600","001",0,31,,"Y",37.7276409,4148000607,,"004"
"804-0",931331.251487,126.7220622,,,"2025-04-30 16:49:15.000","4157055000","1000","2025",10,,"풍무동행정복지센터2층주민휴게실",,,"4090449",1,"20240930","경기도 김포시 풍무로 74 (풍무동)","20240726","Y","2024-07-26 16:57:07.000",,"1700","001",0,11.34,1956143.45908,"Y",37.6021481,4157000182,,"001"
"66-26",,126.6353488,"N",,"2025-05-14 17:42:35.000","2814053000","0900","2025",5,"N","송화새마을금고송현지점",,"N","3500144",1,"20231231","인천광역시 동구 화수로 18 (송현동)","20210601","Y","2021-04-28 15:42:23.000",,"1600","001",2,89.9,,"Y",37.4822144,2814057,,"004"
"357-2",908610.953226,126.462402,,,"2024-04-02 13:44:03.000","2871039000",,"2025",12,,"송해면사무소정자",,,"3570141",,,"인천광역시 강화군 송해면 전망대로 29",,"Y","2021-06-01 08:50:42.000","송해면사무소 정자",,"002",,16,1974476.984169,"Y",37.765391,2871000277,,"002"
"262-0",,126.719195,"N",,"2024-06-09 18:38:40.000","4139059700","0900","2025",19,"N","한라비발디3차경로당",,"N","4010322",4,"20240930","경기도 시흥시 서울대학로 172-20 (배곧동, 한라비발디캠퍼스3차)","20240520","Y","2021-10-20 11:29:15.000",,"1800","001",4,197,,"Y",37.361229,4139000313,,"003"
"243-0",,126.712435,"N",,"2024-06-09 18:38:40.000","4139059700","0900","2025",10,"N","한라비발디1차경로당",,"N","4010322",3,"20240930","경기도 시흥시 배곧1로 27-15 (배곧동, 한라비발디캠퍼스)","20240520","Y","2021-10-20 13:20:33.000",,"1800","001",2,100,,"Y",37.363716,4139000315,,"003"
"1012-1",,126.735299,"N","1000","2024-06-09 18:28:31.000","4139058200","1000","2025",10,"N","월곶유효2차아파트","1600","N","4010322",1,"20240930","경기도 시흥시 월곶해안로161번길 15 (월곶동)","20240520","Y","2021-10-20 14:25:57.000",,"1700","001",2,100,,"Y",37.3887876,4139000318,,"003"
"450-1",,126.479544,"Y","0900","2024-09-06 13:48:06.000","2871025000","0900","2025",40,"Y","남산2리경로당","1800",,"3570171",1,"20241015","인천광역시 강화군 강화읍충렬사로 103-15 ","20240520","Y","2021-03-29 14:11:25.000",,"1800","001",1,169.74,,"Y",37.731068,28710013,,"003"
"1886-4",,126.7271876,"N",,"2024-06-09 18:28:31.000","4139059400","0900","2025",40,"N","서해2차아파트경로당",,"N","4010322",2,"20240930","경기도 시흥시 정왕신길로49번길 19 (정왕동)","20240520","Y","2021-03-30 10:02:02.000",,"1700","001",2,160,,"Y",37.3602061,41390215,,"003"
